isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH WEST 178 0
true false WEST EAST 177 10
true false EAST EAST 177 10
true false EAST EAST 176 20
true false EAST WEST 175 30
true false WEST WEST 175 30
true false WEST NORTH 175 30
true false NORTH EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST NORTH 173 50
true false NORTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 172 60
true false NORTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 171 70
true false NORTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST WEST 170 80
true false WEST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST WEST 168 100
true false WEST WEST 168 100
true false WEST NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 168 100
true false EAST WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST EAST 167 110
true false EAST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST WEST 167 110
true false WEST EAST 167 110
true false EAST WEST 167 110
true false WEST EAST 167 110
true false EAST WEST 167 110
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH NORTH 166 120
true false NORTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH NORTH 164 140
true false NORTH NORTH 163 150
true false NORTH WEST 162 160
true false WEST WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH WEST 162 160
true false WEST NORTH 161 170
true false NORTH NORTH 161 170
true false NORTH NORTH 161 170
true false NORTH EAST 161 170
true false EAST SOUTH 161 170
true false SOUTH WEST 161 170
true false WEST NORTH 161 170
true false NORTH SOUTH 161 170
true false SOUTH NORTH 161 170
true false NORTH WEST 161 170
true false WEST NORTH 161 170
true false NORTH WEST 161 170
true false WEST EAST 160 180
true false EAST EAST 160 180
true false EAST EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH WEST 160 180
true false WEST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH EAST 160 180
true false EAST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST NORTH 160 180
true false NORTH EAST 160 180
true false EAST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH EAST 160 180
true false EAST EAST 160 180
true false EAST NORTH 160 180
true false NORTH EAST 160 180
true false EAST NORTH 160 180
true false NORTH WEST 160 180
true false WEST WEST 160 180
true false WEST NORTH 160 180
true false NORTH WEST 160 180
true false WEST NORTH 160 180
true false NORTH NORTH 160 180
true false NORTH WEST 160 180
true false WEST NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST EAST 160 180
true false EAST SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH NORTH 159 190
true false NORTH EAST 159 190
true false EAST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST NORTH 159 190
true false NORTH NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST WEST 159 190
true false WEST EAST 159 190
true false EAST NORTH 159 190
true false NORTH NORTH 159 190
true false NORTH WEST 159 190
true false WEST SOUTH 159 190
true false SOUTH WEST 159 190
true false WEST WEST 159 190
true false WEST SOUTH 159 190
true false SOUTH SOUTH 158 200
true false SOUTH NORTH 157 210
true false NORTH SOUTH 157 210
true false SOUTH EAST 157 210
true false EAST EAST 157 210
true false EAST WEST 157 210
true false WEST EAST 157 210
true false EAST SOUTH 157 210
true false SOUTH WEST 156 220
true false WEST EAST 155 230
true false EAST SOUTH 155 230
true false SOUTH EAST 154 240
true false EAST NORTH 154 240
true false NORTH SOUTH 154 240
true false SOUTH WEST 154 240
true false WEST NORTH 154 240
true false NORTH WEST 154 240
true false WEST NORTH 154 240
true false NORTH EAST 154 240
true false EAST WEST 154 240
true false WEST WEST 154 240
true false WEST WEST 153 250
true false WEST EAST 152 260
true false EAST WEST 152 260
true false WEST NORTH 152 260
true false NORTH EAST 152 260
true false EAST EAST 152 260
true false EAST SOUTH 152 260
true false SOUTH EAST 152 260
true false EAST EAST 152 260
true false EAST SOUTH 151 270
true false SOUTH EAST 151 270
true false EAST NORTH 150 280
true false NORTH WEST 150 280
true false WEST NORTH 150 280
true false NORTH SOUTH 150 280
true false SOUTH WEST 150 280
true false WEST SOUTH 150 280
true false SOUTH WEST 150 280
true false WEST NORTH 150 280
true false NORTH EAST 150 280
true false EAST WEST 150 280
true false WEST SOUTH 150 280
true false SOUTH NORTH 150 280
true false NORTH SOUTH 150 280
true false SOUTH WEST 150 280
true false WEST SOUTH 150 280
true false SOUTH NORTH 150 280
true false NORTH EAST 150 280
true false EAST EAST 150 280
true false EAST WEST 150 280
true false WEST EAST 150 280
true false EAST NORTH 150 280
true false NORTH WEST 150 280
true false WEST SOUTH 150 280
true false SOUTH EAST 150 280
