isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST WEST 177 10
true false WEST EAST 176 20
true false EAST WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST WEST 176 20
true false WEST NORTH 176 20
true false NORTH WEST 176 20
true false WEST WEST 175 30
true false WEST SOUTH 174 40
true false SOUTH WEST 173 50
true false WEST WEST 173 50
true false WEST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 171 70
true false WEST NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST WEST 170 80
true false WEST EAST 170 80
true false EAST WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH WEST 170 80
true false WEST WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 170 80
true false WEST NORTH 169 90
true false NORTH WEST 168 100
true false WEST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH SOUTH 167 110
true false SOUTH EAST 166 120
true false EAST WEST 166 120
true false WEST NORTH 165 130
true false NORTH WEST 165 130
true false WEST EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH NORTH 163 150
true false NORTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH WEST 162 160
true false WEST SOUTH 161 -2147483479
true false SOUTH WEST 161 -2147483479
true false WEST NORTH 160 178
true false NORTH SOUTH 160 178
true false SOUTH WEST 159 188
true false WEST EAST 159 188
true false EAST EAST 159 188
true false EAST SOUTH 159 188
true false SOUTH NORTH 158 198
true false NORTH SOUTH 158 198
true false SOUTH EAST 158 198
true false EAST SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST SOUTH 156 218
true false SOUTH WEST 156 218
true false WEST NORTH 156 218
true false NORTH WEST 156 218
true false WEST EAST 156 218
true false EAST SOUTH 156 218
true false SOUTH NORTH 156 218
true false NORTH WEST 156 218
true false WEST WEST 156 218
true false WEST WEST 156 218
true false WEST SOUTH 156 218
true false SOUTH WEST 156 218
true false WEST WEST 156 218
true false WEST SOUTH 156 218
true false SOUTH NORTH 156 218
true false NORTH EAST 156 218
true false EAST WEST 156 218
true false WEST SOUTH 156 218
true false SOUTH EAST 156 218
true false EAST SOUTH 156 218
true false SOUTH SOUTH 156 218
true false SOUTH EAST 156 218
true false EAST WEST 156 218
true false WEST NORTH 156 218
true false NORTH NORTH 156 218
true false NORTH NORTH 156 218
true false NORTH SOUTH 156 218
true false SOUTH SOUTH 156 218
true false SOUTH EAST 156 218
true false EAST NORTH 156 218
true false NORTH WEST 156 218
true false WEST SOUTH 156 218
true false SOUTH EAST 156 218
true false EAST EAST 156 218
true false EAST EAST 155 228
true false EAST SOUTH 154 238
true false SOUTH WEST 154 238
true false WEST EAST 154 238
true false EAST SOUTH 154 238
true false SOUTH NORTH 154 238
true false NORTH SOUTH 154 238
true false SOUTH WEST 154 238
true false WEST NORTH 154 238
true false NORTH SOUTH 154 238
true false SOUTH EAST 154 238
true false EAST NORTH 154 238
true false NORTH EAST 154 238
true false EAST NORTH 153 248
true false NORTH EAST 153 248
true false EAST SOUTH 152 258
true false SOUTH NORTH 152 258
true false NORTH NORTH 152 258
true false NORTH NORTH 152 258
true false NORTH SOUTH 152 258
true false SOUTH SOUTH 152 258
true false SOUTH EAST 152 258
true false EAST WEST 151 268
true false WEST WEST 151 268
true false WEST NORTH 151 268
true false NORTH EAST 151 268
true false EAST WEST 151 268
true false WEST WEST 151 268
true false WEST EAST 151 268
true false EAST SOUTH 151 268
true false SOUTH EAST 151 268
true false EAST EAST 151 268
true false EAST SOUTH 151 268
true false SOUTH EAST 151 268
true false EAST EAST 150 253
true false EAST SOUTH 149 238
true false SOUTH NORTH 149 238
true false NORTH EAST 148 223
true false EAST EAST 148 223
true false EAST NORTH 148 223
true false NORTH WEST 147 208
true false WEST EAST 146 -2147483456
true false EAST NORTH 146 -2147483456
true false NORTH EAST 146 -2147483456
true false EAST SOUTH 146 -2147483456
true false SOUTH NORTH 146 -2147483456
true false NORTH EAST 146 -2147483456
true false EAST SOUTH 146 -2147483456
true false SOUTH EAST 146 -2147483456
true false EAST SOUTH 146 -2147483456
true false SOUTH EAST 146 -2147483456
true false EAST NORTH 145 -2147483446
true false NORTH EAST 145 -2147483446
true false EAST WEST 144 -2147483436
true false WEST NORTH 144 -2147483436
true false NORTH EAST 144 -2147483436
true false EAST SOUTH 144 -2147483436
true false SOUTH EAST 144 -2147483436
false false EAST EAST 143 -2147483426
