isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST EAST 177 10
true false EAST NORTH 177 10
true false NORTH SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST WEST 177 10
true false WEST NORTH 176 20
true false NORTH SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST WEST 175 30
true false WEST EAST 175 30
true false EAST NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST WEST 175 30
true false WEST WEST 175 30
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH WEST 174 40
true false WEST SOUTH 173 50
true false SOUTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 171 70
true false WEST EAST 170 80
true false EAST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH NORTH 168 100
true false NORTH EAST 167 110
true false EAST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST WEST 165 130
true false WEST WEST 165 130
true false WEST NORTH 165 130
true false NORTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST NORTH 163 150
true false NORTH WEST 163 150
true false WEST WEST 163 150
true false WEST WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST WEST 163 150
true false WEST WEST 163 150
true false WEST EAST 163 150
true false EAST EAST 163 150
true false EAST NORTH 163 150
true false NORTH WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST WEST 162 160
true false WEST WEST 162 160
true false WEST WEST 162 160
true false WEST NORTH 162 160
true false NORTH WEST 162 160
true false WEST EAST 161 -2147483479
true false EAST SOUTH 161 -2147483479
true false SOUTH EAST 161 -2147483479
true false EAST EAST 161 -2147483479
true false EAST WEST 161 -2147483479
true false WEST SOUTH 161 -2147483479
true false SOUTH NORTH 161 -2147483479
true false NORTH WEST 161 -2147483479
true false WEST WEST 161 -2147483479
true false WEST NORTH 161 -2147483479
true false NORTH EAST 161 -2147483479
true false EAST NORTH 161 -2147483479
true false NORTH NORTH 161 -2147483479
true false NORTH SOUTH 161 -2147483479
true false SOUTH WEST 161 -2147483479
true false WEST EAST 161 -2147483479
true false EAST WEST 161 -2147483479
true false WEST SOUTH 161 -2147483479
true false SOUTH SOUTH 161 -2147483479
true false SOUTH SOUTH 161 -2147483479
true false SOUTH SOUTH 161 -2147483479
true false SOUTH NORTH 160 -2147483469
true false NORTH NORTH 160 -2147483469
true false NORTH NORTH 160 -2147483469
true false NORTH WEST 160 -2147483469
true false WEST EAST 160 -2147483469
true false EAST NORTH 160 -2147483469
true false NORTH WEST 160 -2147483469
true false WEST WEST 160 -2147483469
true false WEST SOUTH 159 188
true false SOUTH EAST 159 188
true false EAST WEST 159 188
true false WEST SOUTH 159 188
true false SOUTH NORTH 159 188
true false NORTH SOUTH 159 188
true false SOUTH NORTH 159 188
true false NORTH EAST 159 188
true false EAST WEST 159 188
true false WEST NORTH 159 188
true false NORTH SOUTH 159 188
true false SOUTH NORTH 159 188
true false NORTH SOUTH 159 188
true false SOUTH NORTH 159 188
true false NORTH NORTH 159 188
true false NORTH WEST 159 188
true false WEST NORTH 158 -2147483451
true false NORTH EAST 158 -2147483451
true false EAST SOUTH 158 -2147483451
true false SOUTH WEST 158 -2147483451
true false WEST WEST 158 -2147483451
true false WEST SOUTH 157 206
true false SOUTH SOUTH 156 216
true false SOUTH NORTH 155 226
true false NORTH WEST 155 226
true false WEST NORTH 155 226
true false NORTH NORTH 155 226
true false NORTH WEST 155 226
true false WEST WEST 155 226
true false WEST SOUTH 155 226
true false SOUTH EAST 155 226
true false EAST SOUTH 155 226
true false SOUTH WEST 155 226
