isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH NORTH 177 10
true false NORTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH EAST 175 30
true false EAST NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST NORTH 174 40
true false NORTH WEST 174 40
true false WEST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 174 40
true false WEST NORTH 174 40
true false NORTH NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 173 50
true false WEST WEST 173 50
true false WEST EAST 172 60
true false EAST NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 172 60
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 168 100
true false WEST WEST 167 110
true false WEST NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH WEST 165 130
true false WEST NORTH 164 140
true false NORTH EAST 164 140
true false EAST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST EAST 164 140
true false EAST NORTH 164 140
true false NORTH EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH EAST 164 140
true false EAST EAST 164 140
true false EAST EAST 164 140
true false EAST NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST WEST 164 140
true false WEST EAST 164 140
true false EAST EAST 164 140
true false EAST EAST 164 140
true false EAST WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH WEST 164 140
true false WEST EAST 164 140
true false EAST WEST 164 140
true false WEST EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST WEST 164 140
true false WEST EAST 164 140
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH WEST 164 140
true false WEST NORTH 163 -2147483499
true false NORTH WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH EAST 162 -2147483489
true false EAST SOUTH 162 -2147483489
true false SOUTH EAST 162 -2147483489
true false EAST SOUTH 162 -2147483489
true false SOUTH EAST 162 -2147483489
true false EAST SOUTH 162 -2147483489
true false SOUTH SOUTH 162 -2147483489
true false SOUTH SOUTH 162 -2147483489
true false SOUTH EAST 162 -2147483489
true false EAST SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH EAST 162 -2147483489
true false EAST NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH WEST 162 -2147483489
true false WEST NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH WEST 162 -2147483489
true false WEST SOUTH 162 -2147483489
true false SOUTH WEST 162 -2147483489
true false WEST NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH NORTH 162 -2147483489
true false NORTH SOUTH 162 -2147483489
true false SOUTH WEST 162 -2147483489
