isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH NORTH 178 0
true false NORTH EAST 178 0
true false EAST EAST 177 10
true false EAST SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST WEST 176 20
true false WEST WEST 175 30
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST EAST 174 40
true false EAST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH NORTH 172 60
true false NORTH WEST 171 70
true false WEST EAST 170 80
true false EAST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH EAST 170 80
true false EAST WEST 170 80
true false WEST WEST 170 80
true false WEST EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST NORTH 169 90
true false NORTH WEST 169 90
true false WEST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 169 90
true false EAST WEST 169 90
true false WEST EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST EAST 169 90
true false EAST EAST 169 90
true false EAST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST NORTH 166 120
true false NORTH SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH WEST 164 140
true false WEST EAST 164 140
true false EAST NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH NORTH 164 140
true false NORTH WEST 163 150
true false WEST EAST 163 150
true false EAST WEST 163 150
true false WEST WEST 163 150
true false WEST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST WEST 163 150
true false WEST EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 162 160
true false SOUTH NORTH 161 170
true false NORTH EAST 161 170
true false EAST WEST 160 180
true false WEST SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST EAST 160 180
true false EAST NORTH 160 180
true false NORTH NORTH 160 180
true false NORTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH SOUTH 160 180
true false SOUTH WEST 159 190
true false WEST WEST 158 -2147483449
true false WEST EAST 157 208
true false EAST WEST 157 208
true false WEST SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST NORTH 157 208
true false NORTH WEST 157 208
true false WEST EAST 157 208
true false EAST NORTH 157 208
true false NORTH WEST 157 208
true false WEST NORTH 157 208
true false NORTH WEST 156 218
true false WEST EAST 156 218
true false EAST NORTH 156 218
true false NORTH WEST 155 228
true false WEST NORTH 154 -2147483411
true false NORTH SOUTH 154 -2147483411
true false SOUTH SOUTH 154 -2147483411
true false SOUTH NORTH 154 -2147483411
true false NORTH NORTH 154 -2147483411
true false NORTH WEST 154 -2147483411
true false WEST WEST 153 246
true false WEST NORTH 153 246
true false NORTH WEST 152 256
true false WEST NORTH 152 256
true false NORTH NORTH 151 266
true false NORTH EAST 151 266
true false EAST SOUTH 150 251
true false SOUTH SOUTH 150 251
true false SOUTH EAST 150 251
true false EAST SOUTH 149 236
true false SOUTH WEST 149 236
true false WEST NORTH 149 236
true false NORTH NORTH 149 236
true false NORTH SOUTH 149 236
true false SOUTH EAST 149 236
true false EAST EAST 149 236
true false EAST SOUTH 148 221
true false SOUTH NORTH 148 221
true false NORTH WEST 148 221
true false WEST EAST 148 221
true false EAST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH NORTH 148 221
true false NORTH WEST 148 221
true false WEST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH NORTH 148 221
true false NORTH EAST 148 221
true false EAST WEST 148 221
true false WEST EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST EAST 148 221
true false EAST NORTH 148 221
true false NORTH WEST 148 221
true false WEST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST NORTH 148 221
true false NORTH WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST WEST 148 221
true false WEST WEST 148 221
true false WEST NORTH 148 221
true false NORTH EAST 148 221
true false EAST WEST 148 221
true false WEST WEST 148 221
true false WEST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH EAST 148 221
true false EAST WEST 148 221
true false WEST EAST 148 221
true false EAST NORTH 148 221
true false NORTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST WEST 148 221
true false WEST WEST 148 221
true false WEST EAST 148 221
true false EAST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST EAST 148 221
true false EAST EAST 148 221
true false EAST WEST 148 221
true false WEST EAST 148 221
true false EAST EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH EAST 148 221
true false EAST WEST 148 221
true false WEST NORTH 148 221
true false NORTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST WEST 148 221
true false WEST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST EAST 148 221
true false EAST NORTH 148 221
true false NORTH WEST 148 221
true false WEST WEST 148 221
true false WEST EAST 148 221
true false EAST WEST 148 221
true false WEST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH SOUTH 148 221
true false SOUTH WEST 148 221
true false WEST WEST 148 221
true false WEST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST EAST 148 221
true false EAST NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH SOUTH 148 221
true false SOUTH NORTH 148 221
true false NORTH EAST 148 221
true false EAST WEST 148 221
true false WEST NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH NORTH 148 221
true false NORTH SOUTH 148 221
true false SOUTH EAST 148 221
true false EAST WEST 148 221
true false WEST EAST 148 221
true false EAST EAST 148 221
true false EAST NORTH 147 206
true false NORTH SOUTH 147 206
true false SOUTH EAST 146 191
true false EAST WEST 146 191
true false WEST SOUTH 146 191
true false SOUTH SOUTH 145 176
true false SOUTH WEST 145 176
true false WEST SOUTH 145 176
true false SOUTH NORTH 145 176
true false NORTH EAST 145 176
true false EAST SOUTH 145 176
true false SOUTH WEST 145 176
true false WEST WEST 145 176
true false WEST EAST 145 176
true false EAST WEST 144 161
true false WEST NORTH 144 161
true false NORTH NORTH 144 161
true false NORTH NORTH 144 161
true false NORTH EAST 144 161
false false EAST EAST 143 146
